Harvest Moon: Friends of Mineral Town,40,Nintendo GameBoy Advance,Nintendo,B,Simulation,,,NULL,2013,2003,11,,Sim,Não,121
Hell Yeah! Wrath of the Dead Rabbit,11,PC | Steam,VALVE,B,Metroidvania,,,NULL,2021,2012,6,,Não,Sim,122
Hellblade 2: Senua’s Saga,13,Xbox Series S,Microsoft,C,Action-adventure,,,NULL,2024,2024,8,1000G,Não,Sim,123
Hellblade: Senua's Sacrifice,8,Windows 10,Microsoft,C,Action-adventure,,,NULL,2019,2017,9,,Não,Sim,124
Hi-Fi RUSH,13,Windows 10,Microsoft,C,Hack and slash,Matar o Ultimo Boss,Dublagem BR Nota 10,NULL,2023,2023,9,,Não,Sim,125
Hollow Knight,50,PC | Steam,VALVE,S,Metroidvania,,,NULL,2020,2017,11,,Não,Sim,126
Horizon Chase Turbo,11,PC | Steam,VALVE,C,Racing,,,NULL,2022,2018,7,,Não,Sim,127
Hotline Miami,14,PC | Steam,VALVE,B,Top-down shooter,,,NULL,2020,2012,8,,Não,Sim,128
Hotline Miami 2: Wrong Number,21,PC | Steam,VALVE,B,Top-down shooter,,,NULL,2020,2015,9,,Não,Sim,129
Hyper Duel,1,Sega Saturn,Sega,SS,Shoot 'em up,Matar o Ultimo Boss,Zerei no Fácil com 5 creditos e 5 vidas e save stade no final boss,NULL,2023,1993,7,,Sim,Não,130
Ikaruga,2,PC | Steam,VALVE,SS,Shoot 'em up,,,NULL,2024,2014,10,,Não,Sim,131
In the Hunt,1,PlayStation 1,Sony,C,Shoot 'em up,Usei fichas infinitas,,NULL,2023,1995,8,,Sim,Não,132
Injustice 2,6,Windows 10,Microsoft,B,Fighting,,,NULL,2021,2017,6,,Não,Sim,133
Injustice: Gods Among Us Ultimate Edition,4,PC | Steam,VALVE,C,Fighting,,,NULL,2020,2013,8,,Não,Sim,134
INSIDE,6,PC | Steam,VALVE,B,Puzzle-platform,,,NULL,2022,2016,9,100%,Não,Sim,135
Inversion,11,PC | Steam,VALVE,B,TPS,,,NULL,2020,2012,6,,Não,Sim,136
Ironclad,1,Neo Geo CD,SNK,C,Shoot 'em up,Amazon Games,,NULL,2023,1996,7,,Não,Não,137
JoJo's Bizarre Adventure: All-Star Battle R,30,Xbox Series S,Microsoft,B,Fighting,,,NULL,2024,2022,9,1000G,Não,Sim,138
Jotun: Valhalla Edition,9,PC | Steam,VALVE,B,Action-adventure,,,NULL,2021,2015,8,,Não,Sim,139
Kirby: Planet Robobot,7,Nintendo 3DS,Nintendo,C,Platform,,,NULL,2022,2016,9,,Sim,Não,140
Left 4 Dead,5,PC | Steam,VALVE,B,FPS,,,NULL,2021,2008,9,,Não,Sim,141
Left 4 Dead 2,2,PC | Steam,VALVE,B,FPS,,,NULL,2021,2009,9,,Não,Sim,142
LEGO Star Wars II: The Original Trilogy,10,PlayStation 2,Sony,C,Action-adventure,,,NULL,2007,2007,7,,Sim,Não,143
LEGO Star Wars: The Video Game,10,PlayStation 2,Sony,C,Action-adventure,,,NULL,2005,2005,7,,Sim,Não,144
Life is Strange,19,PC | Steam,VALVE,C,Graphic adventure,,,NULL,2019,2015,10,,Não,Sim,145
Life is Strange: Before the Storm,10,PC | Steam,VALVE,C,Graphic adventure,,,NULL,2020,2017,9,,Não,Sim,146
Limbo,5,PC | Steam,VALVE,B,Puzzle-platform,,,NULL,2019,2010,9,,Não,Sim,147
Little Nightmares,4,PC | Steam,VALVE,B,Puzzle-platform,,,NULL,2021,2017,9,,Não,Sim,148
Luigi's Mansion,12,Nintendo 3DS,Nintendo,B,Action-adventure,,,NULL,2022,2018,7,,Sim,Não,149
Magician Lord,2,Neo Geo MVS,SNK,S,Platform,Amazon Games,,NULL,2023,1990,7,,Não,Não,150
Mario Kart 64,6,Nintendo 64,Nintendo,B,Kart racing,,,NULL,2024,1997,11,,Sim,Sim,151
Mario Kart 7,3,Nintendo 3DS,Nintendo,B,Kart racing,,,NULL,2022,2011,8,,Sim,Não,152
Mario Kart 8,2,Nintendo Wii U,Nintendo,B,Kart racing,,,NULL,2021,2014,8,,Sim,Não,153
Mario Kart Wii,10,Nintendo Wii,Nintendo,B,Kart racing,,,NULL,2021,2018,8,,Sim,Não,154
Mario Kart: Double Dash!!,6,Nintendo Game Cube,Nintendo,B,Kart racing,,,NULL,2021,2003,8,,Sim,Não,155
Mario Kart: Super Circuit,4,Nintendo GameBoy Advance,Nintendo,B,Kart racing,,,NULL,2001,2001,7,,Sim,Não,156
Mario Power Tennis,3,Nintendo Game Cube,Nintendo,B,Sports,,,NULL,2021,2004,8,,Sim,Não,157
Marvel Super Heroes,2,Sega Saturn,Sega,C,Fighting,,,NULL,2023,1997,7,,Sim,Não,158
